sdss_name,sdss_ra,sdss_dec,sdss_class,sdss_z,sdss_source_z,sdss_z_pipe,sdss_zwarning,sdss_z_vi,sdss_z_conf,sdss_is_qso_qn,sdss_z_qn,FIRST_r1,RA_deg_r1,DEC_deg_r1,Fpeak_r1,Fint_r1,Rms_r1,Maj_r1,Min_r1,PA_r1,Separation_first,GrpSize_before_first,group_z_min_first,group_z_max_first,GroupID_first,GroupSize_first,source_tier_first,NVSS_r2,RA_deg_r2,e_RAJ2000_r2,DEC_deg_r2,e_DEJ2000_r2,S1.4_r2,e_S1.4_r2,MajAxis_r2,MinAxis_r2,Separation_nvss,GrpSize_before_nvss,group_z_min_nvss,group_z_max_nvss,GroupID_nvss,GroupSize_nvss,source_tier_nvss,GLEAM_r3,RA_deg_r3,e_RAJ2000_r3,DEC_deg_r3,e_DEJ2000_r3,Fpwide_r3,e_Fpwide_r3,Fintwide_r3,e_Fintwide_r3,awide_r3,e_awide_r3,bwide_r3,e_bwide_r3,pawide_r3,psfawide_r3,psfbwide_r3,psfPAwide_r3,Separation_gleam,GrpSize_before_gleam,group_z_min_gleam,group_z_max_gleam,GroupID_gleam,GroupSize_gleam,source_tier_gleam,RACS-DR1_r4,RA_deg_r4,e_RAJ2000_r4,DEC_deg_r4,e_DEJ2000_r4,Ftot_r4,e_Ftot_r4,Fpk_r4,e_Fpk_r4,amaj_r4,bmin_r4,e_amaj_r4,e_bmin_r4,PA_r4,e_PA_r4,amaj0_r4,bmin0_r4,PA0_r4,e_amaj0_r4,e_bmin0_r4,e_PA0_r4,Separation_racs,GrpSize_before_racs,group_z_min_racs,group_z_max_racs,GroupID_racs,GroupSize_racs,source_tier_racs,likeli_first,likeli_nvss,likeli_gleam,likeli_racs
102651.46+590628.0,156.71444106340323,59.10779601749842,QSO,3.407,VI,3.4076364040374756,0,3.407,3.0,1.0,3.4057874525702747,J102651.4+590628,156.7144171219295,59.10783228486772,79.69,82.6,0.155,1.18,0.87,174.2,0.1378578435578943,1,,,-2147483648,1,1,102651+590628,156.71400045521708,0.06,59.107865618230726,0.6,84.2,2.6,19.9,17.4,0.8520615933173655,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.3343544007184109,6.995462586824326,,
100025.33+590459.6,150.10555414206658,59.08324598504326,QSO,3.502,VI,3.502315044403076,0,3.502,3.0,1.0,3.4995323097112463,J100025.3+590459,150.10553703722738,59.083257724288195,30.57,30.86,0.138,0.87,0.0,28.3,0.05279183946775603,1,,,-2147483648,1,1,100025+590459,150.10541620385007,0.06,59.08314383540677,0.6,61.8,1.9,17.7,15.8,0.44757922522266813,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.12803902573200887,2.2697808234793384,,
102032.50+585849.2,155.13545233721447,58.98034784558816,QSO,3.421,VI,3.4213383197784424,0,3.421,3.0,1.0,3.415040559569979,J102032.5+585849,155.13543771185786,58.98033517330991,51.25,51.98,0.156,0.92,0.0,171.4,0.05307915793556991,1,,,-2147483648,1,1,102032+585849,155.13504187850828,0.07,58.9804768400039,0.6,53.1,1.6,18.8,15.2,0.8919080517415023,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.12873586130575865,6.284836832026182,,
111014.02+585744.1,167.55842615989195,58.96225383510211,QSO,3.102,VI,3.1013548374176025,0,3.102,3.0,1.0,3.095144114463775,J111014.0+585744,167.55850170421138,58.962225881558126,1.84,1.92,0.152,2.57,0.0,69.9,0.1725962822820066,1,,,-2147483648,1,1,111014+585750,167.55991837160377,0.79,58.96403143699368,5.7,2.7,0.4,58.9,52.3,6.97303957346118,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.4186073599878193,3.654962451133316,,
130204.52+585353.9,195.51885707404824,58.8983074140904,QSO,3.2811105251312256,PIPE,3.2811105251312256,0,-1.0,0.0,1.0,2.4336072886650237,J130204.5+585353,195.51907442207497,58.89815095661121,1.15,0.95,0.148,1.47,0.0,147.0,0.6932615428704931,1,,,-2147483648,1,1,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.681404922606326,,,
152506.57+585140.4,231.27739058831054,58.86123557360104,QSO,3.396376848220825,PIPE,3.396376848220825,0,-1.0,0.0,1.0,1.8057440554341637,J152506.5+585140,231.27712346001275,58.861377824152136,14.45,22.56,0.157,5.64,2.2,153.6,0.7138222397764411,1,,,-2147483648,1,1,152506+585142,231.27708596012698,0.09,58.86169171304459,0.8,23.9,0.8,22.7,16.8,1.7372662935059167,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.7312749573101929,4.68149377118225,,
155307.12+585013.5,238.2796753591066,58.837087559641,QSO,3.7090001106262207,VI,3.729830265045166,4,3.7090001106262207,3.0,1.0,3.7187954443532583,J155307.0+585013,238.27931033385514,58.83718551589552,1.06,1.37,0.152,5.42,0.0,148.7,0.7660057194997301,1,,,-2147483648,1,1,155306+585016,238.27900200074595,0.71,58.83777440481162,5.8,2.6,0.4,54.0,50.8,2.772625826609138,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.8578388291849746,1.8006742184592686,,
161426.97+583953.0,243.61239844069803,58.66473873905547,QSO,3.1186208724975586,PIPE,3.1186208724975586,0,-1.0,0.0,1.0,3.1066804594061104,J161426.8+583952,243.6118013931063,58.66452394944867,13.26,24.16,0.147,7.52,1.93,67.2,1.359161694932063,1,,,-2147483648,1,1,161426+583952,243.611334726474,0.09,58.664468393931564,0.8,23.7,0.8,22.1,20.6,2.216547804893719,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,3.296444448365041,14.851434212172432,,
153729.55+583224.7,234.37313240031088,58.540212087441255,QSO,3.069,VI,3.0733251571655273,0,3.069,3.0,1.0,3.0533987338423296,J153729.5+583224,234.3731397598331,58.54021642375414,13.62,14.18,0.146,1.61,0.0,2.2,0.020854035296855405,1,,,-2147483648,1,1,153729+583227,234.37316892678913,0.13,58.54108031264034,1.3,14.5,0.6,31.3,20.0,3.126364015484428,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.05057846620305745,2.433477765521455,,
103005.97+582255.2,157.52489151890052,58.38200971791446,QSO,3.4325432777404785,PIPE,3.4325432777404785,0,-1.0,0.0,1.0,3.432479435965658,J103005.9+582255,157.5248295328854,58.38202944895677,126.51,135.76,0.162,1.67,1.22,124.9,0.13686287904220076,1,,,-2147483648,1,1,103005+582255,157.5249586995983,0.06,58.382143337836325,0.6,143.5,4.3,17.4,15.3,0.4974609472433894,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.3319413069516355,1.3444095278182728,,
